"33 HUNTSTOWN DRIVE, MULHUDDART, DUBLIN 15"	Dublin	"261,100"	270225	05/01/2018
"33 RAVENSDALE DR, KIMMAGE, DUBLIN 12"	Dublin	"500,000"	485682	05/01/2018
"33 URSULINE COURT, WATERFORD"	Waterford	"177,000"	169145	05/01/2018
"34 SEASON PARK, NEWTOWNMOUNTKENNEDY, WICKLOW"	Wicklow	"230,000"	240009	05/01/2018
"38 THE SYCAMORES, DUN AN OIR, KANTURK"	Cork	"120,000"	118304	05/01/2018
"39 SITRIC RD, STONEYBATTER, DUBLIN 7"	Dublin	"335,000"	336743	05/01/2018
"39 The Green, The Paddocks, Hansfield"	Dublin	"290,748"	282503	05/01/2018
"4 CONNOLLY AVE, NAVAN, TRIM RD"	Meath	"160,000"	156279	05/01/2018
"4 HANLEY AVE, LOUGHLYNN, ROSCOMMON"	Roscommon	"76,000"	77404	05/01/2018
"4 THE CLOSE, WOODPARK, BALLINTEER DUBLIN 16"	Dublin	"525,000"	533904	05/01/2018
"40 BALLYCLAMASY, YOUGHAL, CO. CORK"	Cork	"255,000"	244549	05/01/2018
"40 JOHN PAUL AVE, CAVAN, CAVAN"	Cavan	"43,000"	44174	05/01/2018
"40 LARKFIELD VIEW, LUCAN, DUBLIN"	Dublin	"273,000"	285643	05/01/2018
"43 LORCAN GROVE, SANTRY, DUBLIN 9"	Dublin	"170,000"	174106	05/01/2018
"45 Carton Wood, Dublin Road, Maynooth"	Kildare	"415,000"	426324	05/01/2018
"46 DUN EMER WAY LUSK, DUBLIN"	Dublin	"193,000"	200500	05/01/2018
"47 JACOBS ISLAND, MAHON, CORK"	Cork	"350,000"	335872	05/01/2018
"5 Cois Glaisin Crescent, Johnstown, Navan"	Meath	"229,255"	238192	05/01/2018
"5 HARBOUR VIEW, HOWTH, DUBLIN 13"	Dublin	"50,000"	47815	05/01/2018
"5 MEADOW COURT, THE BEECHES, BOHERBUE"	Cork	"87,500"	86498	05/01/2018
"5 ST CONLETHS AVE, NEWBRIDGE, KILDARE"	Kildare	"162,000"	156406	05/01/2018
"50 AN LOGAN, KINGSTON, GALWAY"	Galway	"290,000"	279554	05/01/2018
"6 ASHLEIGH COURT, CASTLEKNOCK, DUBLIN 15"	Dublin	"281,500"	278730	05/01/2018
"6 DEERPARK LODGE, KILTIPPER, DUBLIN 24"	Dublin	"156,500"	161992	05/01/2018
"6 PIPERS COURT, MILLMOUNT RD, MULLINGAR"	Westmeath	"245,000"	249249	05/01/2018
"6 ST LAZERIANS TERRACE, LEIGHLINBRIDGE, CARLOW"	Carlow	"125,000"	124600	05/01/2018
"60 GRIFFITH PARADE, BALLYGALL RD EAST, DUBLIN 11"	Dublin	"280,000"	281816	05/01/2018
"619 CLONARD RD, KIMMAGE, DUBLIN 12"	Dublin	"652,000"	647860	05/01/2018
